timestamp,open,high,low,close,volume
2023-10-12,193.3500,197.4750,191.5635,193.0100,1893718
2023-10-11,192.7500,194.4399,186.0900,191.8600,3024515
2023-10-10,196.4000,198.4600,194.4200,194.7300,1624915
2023-10-09,192.5600,196.8700,191.0610,196.4000,1456381
2023-10-06,188.4300,195.4640,185.6300,194.0200,2041217
2023-10-05,185.6100,188.9500,183.2600,188.0300,1676731
2023-10-04,184.9000,187.5600,183.6539,186.0300,1958772
2023-10-03,187.1400,188.3150,183.1600,184.8900,1312701
2023-10-02,184.5200,189.9000,184.0300,187.8100,1671444
2023-09-29,186.0400,188.5500,182.9600,183.9300,1728181
2023-09-28,181.5100,184.9150,180.4600,184.4300,1714594
2023-09-27,179.7300,183.0000,179.0100,181.6000,2169353
2023-09-26,179.4300,179.7350,177.1100,177.9200,1487871
2023-09-25,179.1300,183.8300,178.2982,181.1800,1508316
2023-09-22,178.6000,181.5200,178.3900,180.3400,1410241
2023-09-21,180.3700,180.7450,177.0200,177.8600,1824734
2023-09-20,185.4400,186.7600,182.6850,182.7500,1273256
2023-09-19,185.4400,185.5500,182.2200,184.8300,1035669
2023-09-18,183.0000,187.9000,182.4000,186.0200,1499634
2023-09-15,186.1000,186.4100,183.5500,184.7200,2104786
2023-09-14,190.6800,190.9900,187.0600,187.5600,1548495
2023-09-13,187.2600,192.3600,185.7034,188.0900,1615006
2023-09-12,190.6400,192.7500,188.9600,189.0300,1527799
2023-09-11,198.4000,198.6200,190.1900,193.1900,1869580
2023-09-08,194.2900,197.4300,193.4800,196.4700,1497367
2023-09-07,193.9900,196.8675,191.4500,195.5400,1675447
2023-09-06,196.5300,198.2799,195.1900,197.5400,1210493
2023-09-05,197.6700,198.2000,195.5587,197.4600,1581373
2023-09-01,197.7800,198.7000,194.6502,197.3600,2055952
2023-08-31,192.0000,196.7600,190.4400,195.2300,4759168
2023-08-30,185.0000,188.3000,184.7500,187.1000,1230465
2023-08-29,181.1600,187.1100,181.1600,185.4500,1228787
2023-08-28,181.0000,182.6800,177.2900,181.9600,1191577
