timestamp,open,high,low,close,volume
2023-10-12,305.0000,306.5050,299.6900,300.6800,279084
2023-10-11,304.7400,305.4700,302.1300,304.8800,336552
2023-10-10,300.3000,306.2600,297.7150,303.2800,464571
2023-10-09,292.9500,302.1400,292.9500,300.9100,379976
2023-10-06,288.1600,297.7900,286.5950,296.5100,574218
2023-10-05,290.9900,291.5600,285.3900,290.1800,379882
2023-10-04,289.0000,291.5100,286.0900,290.8200,521904
2023-10-03,293.7300,296.8243,285.9750,287.3900,492852
2023-10-02,296.9300,298.7650,294.2700,297.4000,452167
2023-09-29,300.4000,301.8900,296.1450,297.5500,569356
2023-09-28,294.2300,299.9900,292.0600,297.8600,443387
2023-09-27,296.2500,298.1050,292.7400,294.3400,516630
2023-09-26,301.0500,302.2700,294.5300,295.1200,347737
2023-09-25,300.7100,302.4200,296.0600,301.7300,278231
2023-09-22,301.7700,305.5700,301.2200,302.9100,241863
2023-09-21,306.1900,307.8200,300.7600,300.7600,383413
2023-09-20,310.7100,315.0500,309.9300,310.2100,466375
2023-09-19,309.9900,309.9900,305.6053,309.2500,391469
2023-09-18,309.4700,312.8300,309.3900,311.9200,280922
2023-09-15,318.2700,319.5800,306.7750,310.7200,823093
2023-09-14,312.3500,318.2350,309.9400,317.9800,391182
2023-09-13,311.5900,313.6700,309.4200,311.2800,537548
2023-09-12,311.7500,315.1400,311.4100,312.6000,400939
2023-09-11,316.1000,317.4500,311.3650,315.0000,408351
2023-09-08,317.7700,319.6000,313.3100,314.3500,401847
2023-09-07,318.7000,320.1200,313.5400,318.4800,351209
2023-09-06,317.5800,322.0550,317.3150,320.9700,316297
2023-09-05,318.5300,320.8750,315.2500,317.4600,454756
2023-09-01,320.5500,320.7150,315.9300,319.0300,339698
2023-08-31,317.1300,320.9100,315.8400,318.8700,627330
2023-08-30,314.3700,317.3600,313.7000,315.9600,304471
2023-08-29,307.9200,314.6400,306.4100,314.2100,414222
2023-08-28,306.7700,310.1050,304.9300,308.1500,326019
2023-08-25,298.5600,305.9950,297.0335,304.8900,370622
2023-08-24,306.3400,307.6800,298.3500,298.5600,456449
2023-08-23,298.6500,304.5600,297.4900,302.8300,335847
2023-08-22,298.4800,298.9000,294.3250,295.9700,306529
2023-08-21,294.1100,297.3800,293.1300,296.5200,394867
2023-08-18,287.5800,293.2725,287.2050,292.5900,482644
2023-08-17,296.6600,296.6600,289.5300,290.0900,414180
2023-08-16,295.7800,299.4400,294.7200,296.2700,426067
2023-08-15,301.3900,304.0600,295.8100,296.5000,695679
2023-08-14,298.9900,305.1450,297.3900,303.3800,538389
2023-08-11,294.9800,301.7400,294.0010,301.2100,348622
2023-08-10,301.3200,303.3300,296.4300,298.0100,400663
2023-08-09,301.4800,301.4800,297.0100,297.4400,344232
2023-08-08,304.4200,304.5750,298.4400,302.3900,430286
2023-08-07,303.6900,309.1100,303.0522,306.7000,533949
2023-08-04,307.3400,310.1550,301.3050,304.6500,947012
2023-08-03,311.0200,314.6000,299.6907,305.4700,1215328
2023-08-02,333.0700,333.2000,323.5600,325.3700,669334
2023-08-01,338.7600,339.2550,329.5500,336.7300,587409
2023-07-31,338.5100,342.2600,336.6900,342.1000,398081
2023-07-28,337.9700,341.6200,335.7750,338.2300,424168
2023-07-27,343.1000,345.0900,332.9700,334.3300,379381
2023-07-26,341.7400,342.3000,336.8500,338.4800,354092
2023-07-25,338.9800,344.7800,338.9800,344.1700,280333
2023-07-24,343.1900,344.7600,336.9300,339.8400,421905
2023-07-21,343.1300,345.3100,340.9700,341.7600,1426318
2023-07-20,345.7600,347.8900,339.6000,340.5000,372533
2023-07-19,350.9700,351.2250,345.5650,348.8100,327761
2023-07-18,346.0700,350.2300,344.0200,348.9800,455710
2023-07-17,342.1400,348.7050,342.1400,347.8300,347194
2023-07-14,346.5200,348.3800,343.4100,344.2500,328118
2023-07-13,340.5100,347.5400,340.0200,347.2700,361248
2023-07-12,338.8000,339.1900,334.4200,336.8500,366095
2023-07-11,332.5200,334.5800,330.2550,333.7200,341293
2023-07-10,320.9100,332.9700,320.9100,332.2100,589917
2023-07-07,320.7800,324.2300,319.4100,320.1700,245341
2023-07-06,319.5500,321.9500,317.2500,321.3900,330971
2023-07-05,323.8600,325.9400,320.1100,323.9200,442969
2023-07-03,327.8400,328.8000,320.9800,326.9500,238218
2023-06-30,328.6300,334.6400,328.6300,330.2700,575834
2023-06-29,324.5900,326.3800,322.2950,326.0500,318967
2023-06-28,324.0500,326.4650,321.0850,324.3100,389595
2023-06-27,317.1400,324.9100,317.1400,323.3200,357101
2023-06-26,318.3400,321.1500,315.6500,316.2000,372595
2023-06-23,321.7900,322.8953,318.9500,319.5400,964939
2023-06-22,323.6000,326.9050,321.0300,325.6800,324678
2023-06-21,330.2200,330.9100,324.7750,325.0500,313666
2023-06-20,329.8600,336.0350,328.6200,331.3100,371676
2023-06-16,339.5500,339.5500,332.6400,334.3700,887072
2023-06-15,331.6700,338.6499,330.7000,336.8100,397678
2023-06-14,331.0700,336.5800,330.1010,334.3100,374687
2023-06-13,332.9800,336.6400,330.5100,333.2300,475569
2023-06-12,326.2100,330.0900,324.8500,329.9700,458240
2023-06-09,318.7400,326.8900,318.5000,325.5300,663971
2023-06-08,312.3500,317.0700,310.7159,316.0500,459065
2023-06-07,324.5700,325.9900,308.1700,312.8500,701380
2023-06-06,326.7600,329.2500,324.8900,325.5900,279177
2023-06-05,321.8900,327.5900,321.8900,326.0200,448607
