timestamp,open,high,low,close,volume
2023-10-16,212.0000,215.4600,211.9950,214.0200,1286395
2023-10-13,209.7200,212.7400,209.7200,210.9400,1601156
2023-10-12,210.9900,211.8400,208.4100,209.3400,1450734
2023-10-11,209.5400,210.4000,208.2100,210.1800,1759599
2023-10-10,210.8600,211.3150,208.0400,209.6700,1526246
2023-10-09,209.6800,210.6500,208.9100,210.4900,1233570
2023-10-06,210.4500,211.2199,209.0400,209.5500,1466816
2023-10-05,208.8300,211.5000,207.3100,210.7600,1619933
2023-10-04,204.9800,207.8500,204.1450,207.6700,1788359
2023-10-03,206.1900,206.2850,204.1700,204.9100,1483495
2023-10-02,206.9900,207.3600,205.5000,206.4000,1479656
2023-09-29,212.0000,212.0400,206.9300,208.1800,1716304
2023-09-28,212.5300,213.2600,211.8600,212.2700,1058700
2023-09-27,212.1700,212.7000,209.5100,211.6300,1551405
2023-09-26,211.7700,213.2400,211.0200,211.9700,1361209
2023-09-25,211.7400,212.7600,211.0650,212.2300,1029372
2023-09-22,212.3500,214.5700,212.3500,213.0800,1232976
2023-09-21,213.5200,214.8590,212.3400,212.4900,1465203
2023-09-20,215.0000,216.0950,213.5750,213.7600,2128237
2023-09-19,214.7500,215.1200,212.5100,214.2700,1936588
2023-09-18,212.2000,214.3800,210.9850,214.1100,1565377
2023-09-15,211.3500,212.4400,210.4400,212.2000,3846048
2023-09-14,210.2400,212.3800,209.3000,211.9800,1883289
2023-09-13,209.6000,209.9900,208.1000,209.8700,1637706
2023-09-12,206.8200,209.7700,206.2600,208.2900,1581008
2023-09-11,205.5000,207.4000,205.0200,206.3500,1257154
2023-09-08,204.0200,206.5000,203.9900,204.6700,1779131
2023-09-07,202.6600,205.8200,202.5500,204.0200,1662489
2023-09-06,199.4300,202.5150,198.6700,201.9400,1736320
2023-09-05,202.4800,203.1300,199.7300,200.0600,1787130
2023-09-01,202.5600,204.3500,202.2200,203.2900,1247613
2023-08-31,202.5400,202.6000,200.1800,200.8700,1763186
2023-08-30,201.9300,203.1000,200.9400,201.7600,1392026
2023-08-29,201.5000,202.0000,199.3200,201.9300,1138572
2023-08-28,201.8800,202.6800,199.9300,200.7700,1147823
2023-08-25,201.5800,203.1900,200.4400,201.6300,1228391
2023-08-24,200.7000,203.3750,200.5150,201.1700,922331
2023-08-23,199.5800,201.3400,199.5800,201.2800,1391006
2023-08-22,199.1900,200.4300,198.4850,199.1000,1254611
2023-08-21,200.2400,200.9500,198.1000,200.0500,1965207
2023-08-18,199.4100,200.9300,198.9300,199.9000,1303791
2023-08-17,203.0000,203.7300,199.5000,200.0400,1550814
2023-08-16,199.2800,202.8900,199.2100,202.0300,1444176
2023-08-15,200.1700,200.9200,198.7000,199.3700,1321610
2023-08-14,202.5100,202.5599,200.5300,201.6700,1891162
2023-08-11,201.1000,202.8200,200.6650,201.7700,1328195
2023-08-10,203.1600,205.2300,201.0100,201.6100,1717124
2023-08-09,200.6800,202.9450,200.1300,201.0000,1654875
2023-08-08,201.6900,202.1699,200.1200,201.0800,1571447
2023-08-07,202.2700,205.0700,201.8700,203.0200,1317956
2023-08-04,202.5100,204.1150,200.7100,200.9200,1489124
2023-08-03,205.2200,205.3450,202.6600,202.9000,1485981
2023-08-02,203.0300,207.3000,202.9500,205.5500,1564089
2023-08-01,205.1900,206.4800,203.0700,203.2200,1241624
2023-07-31,205.4200,206.4550,203.2400,204.4100,2164236
2023-07-28,211.9500,211.9500,205.6000,205.9800,2260175
2023-07-27,207.0000,211.9800,206.0200,211.2000,4022359
2023-07-26,206.1100,208.9900,203.5800,205.8900,2890947
2023-07-25,200.0500,200.3938,195.3600,195.5200,1906426
2023-07-24,199.6800,202.3850,199.1900,200.5400,1579116
2023-07-21,200.2000,200.6981,198.3200,199.8100,1804854
2023-07-20,195.1900,199.6200,194.3700,199.3900,2655417
2023-07-19,193.7900,194.4900,192.6700,193.1900,1909907
2023-07-18,191.4000,194.0200,191.3000,193.0000,1998539
2023-07-17,188.3300,193.2200,188.2680,191.6700,1740056
2023-07-14,189.5300,189.5700,186.5229,188.3300,2514283
2023-07-13,188.4400,190.7000,188.0000,190.0000,1657214
2023-07-12,192.9400,193.6900,189.3300,190.2800,2024224
2023-07-11,187.9000,192.2000,187.7700,192.1100,1380359
2023-07-10,191.5300,192.8800,187.8900,188.0900,1253912
2023-07-07,190.0400,194.0000,190.0400,191.5300,1733978
2023-07-06,190.2200,192.5300,189.2700,192.2100,1353370
2023-07-05,190.8700,191.3100,188.2700,191.1200,1095419
2023-07-03,191.8700,193.1400,190.6800,192.3000,499430
2023-06-30,190.1300,192.9400,189.4750,192.5600,2117937
2023-06-29,184.2900,189.3200,183.7100,189.1000,2016172
2023-06-28,189.2500,189.2500,184.5100,184.9200,2679964
2023-06-27,190.8700,192.0800,189.7400,189.7500,1666699
2023-06-26,192.7100,193.9900,189.4000,190.7800,1649204
2023-06-23,194.3100,195.1400,193.0100,193.2400,2067282
2023-06-22,194.9900,195.2300,192.5088,195.1400,1493631
2023-06-21,192.8300,195.1800,191.6150,193.9200,1656316
2023-06-20,194.0100,195.3300,192.4500,193.2700,2321036
2023-06-16,192.4000,195.8450,191.9500,194.9400,3378583
2023-06-15,188.0200,193.0000,188.0001,191.2600,2631689
2023-06-14,191.7000,192.4275,188.5900,188.8400,2652773
2023-06-13,191.9700,194.3600,191.2200,191.8900,2551226
2023-06-12,190.8000,191.5300,189.4750,190.5500,1949654
