timestamp,open,high,low,close,volume
2023-10-13,212.8300,213.7500,208.6300,209.4700,1313947
2023-10-12,213.8300,215.0000,211.1200,212.7700,1207221
2023-10-11,214.1000,215.1800,211.6300,213.2000,965508
2023-10-10,211.1500,214.9100,210.0000,212.4700,914161
2023-10-09,208.1000,211.0500,206.6100,210.5600,766007
2023-10-06,202.0800,211.2800,201.3300,210.0400,1238096
2023-10-05,206.2300,206.4600,200.4100,203.9600,958648
2023-10-04,204.2800,207.6200,204.0500,207.0600,892695
2023-10-03,207.8900,209.0520,201.2100,203.2800,1103078
2023-10-02,206.0600,209.4157,205.5400,208.9900,855181
2023-09-29,209.7100,210.9900,206.5800,206.9100,1073911
2023-09-28,202.2800,208.5650,201.9500,207.8900,1466278
2023-09-27,202.0600,203.6400,200.0900,202.2800,1064977
2023-09-26,204.0500,204.5800,200.2600,201.6600,1544613
2023-09-25,203.0050,205.7000,202.0000,205.6700,1141960
2023-09-22,204.5500,206.2800,203.7900,204.0400,1122774
2023-09-21,206.7800,207.1100,203.2000,204.0600,1425177
2023-09-20,213.1200,213.4300,207.6050,207.7300,1230385
2023-09-19,212.1300,212.6000,209.0700,212.0600,1145975
2023-09-18,212.4350,214.2100,212.1900,213.5200,880353
2023-09-15,216.6700,217.3600,212.8100,213.3500,1944419
2023-09-14,213.3400,217.2000,211.6000,216.6700,1137169
2023-09-13,212.2000,213.8300,210.5700,212.2600,1095003
2023-09-12,215.1300,217.0700,211.2500,211.8000,1574632
2023-09-11,219.4900,220.4300,217.4953,218.7400,838785
2023-09-08,220.5600,221.9150,217.8600,219.1900,1002278
2023-09-07,221.1400,221.6200,218.1800,221.0100,1288221
2023-09-06,219.0800,222.6900,218.1500,222.2000,1709732
2023-09-05,218.0900,220.7900,216.5900,219.4600,1189803
2023-09-01,224.0700,224.1300,218.4500,220.0200,1160668
2023-08-31,221.7400,224.2600,220.8900,221.9400,1729194
2023-08-30,219.4000,223.4500,218.4800,221.5500,1331254
2023-08-29,217.0000,219.5700,215.7000,219.4000,1151892
2023-08-28,217.2300,218.4100,216.0800,217.0900,1098101
2023-08-25,209.8500,216.7950,209.4900,215.9200,1933948
2023-08-24,215.5000,216.7500,208.1350,208.6000,2648308
2023-08-23,202.2500,205.8100,201.9700,204.3600,1697452
2023-08-22,202.3400,202.8050,200.0000,200.5800,1041486
2023-08-21,200.4000,202.9200,199.7400,202.0200,951292
