timestamp,open,high,low,close,volume
2023-10-13,216.6300,217.8800,214.2767,215.4300,410214
2023-10-12,220.6800,220.6800,214.1900,215.4100,425130
2023-10-11,216.6400,220.7100,216.0000,220.0000,728529
2023-10-10,210.0000,216.3100,209.6100,215.2900,591567
2023-10-09,202.2000,209.9400,200.9900,208.8100,531996
2023-10-06,193.1200,201.4500,192.6300,199.7000,370232
2023-10-05,194.8100,196.5450,192.7852,196.1100,300880
2023-10-04,192.0300,194.9000,190.0100,194.6100,335059
2023-10-03,195.3900,196.0600,190.8200,192.0600,266606
2023-10-02,197.2900,199.1000,195.0500,196.1500,428454
2023-09-29,197.8600,201.5400,197.5800,198.9900,634349
2023-09-28,193.4100,196.5450,191.6032,196.0800,354225
2023-09-27,190.8500,195.7100,190.6900,194.6500,617863
2023-09-26,190.6400,192.2000,189.1199,189.6100,444800
2023-09-25,193.9500,195.3500,192.5000,193.2400,373752
2023-09-22,196.8800,197.5650,194.5000,195.4200,369204
2023-09-21,201.0300,201.7100,196.0100,196.1300,598413
2023-09-20,205.3400,206.3200,203.1900,203.3500,458364
2023-09-19,207.2300,207.2300,201.2400,203.8000,478851
2023-09-18,204.6000,211.1900,203.0100,208.1800,497252
2023-09-15,211.3800,211.6800,204.9500,206.2100,820071
2023-09-14,209.9500,213.5100,209.3150,212.5100,398655
2023-09-13,211.0000,211.8850,208.0500,209.8600,378685
2023-09-12,210.8300,213.1300,210.2600,211.9300,375527
2023-09-11,214.4700,215.0000,210.8100,213.1900,326321
2023-09-08,215.3400,217.6100,214.1050,214.7100,359561
2023-09-07,213.4100,216.8050,210.4276,216.0600,459344
2023-09-06,212.6100,215.4400,211.7100,213.5000,330343
2023-09-05,214.5000,214.9000,208.1500,212.2500,697867
2023-09-01,213.6100,215.4750,212.3800,215.3900,343362
2023-08-31,212.0000,215.2800,211.8450,212.9100,862039
2023-08-30,204.8000,211.5900,204.8000,211.1000,541297
2023-08-29,200.1100,206.2900,199.2650,205.1400,302444
2023-08-28,199.7300,203.3600,199.7300,200.7100,435462
2023-08-25,195.7300,198.6200,193.3101,198.4300,412212
2023-08-24,200.4400,204.1797,195.8600,196.0100,748011
2023-08-23,199.4500,200.5900,197.6400,200.3000,403321
2023-08-22,196.8600,199.5400,196.0000,198.9600,300861
2023-08-21,199.5600,201.0700,195.6700,196.9400,432362
2023-08-18,193.1100,200.7200,192.8700,200.1000,737930
2023-08-17,200.4200,200.4200,195.0000,195.3900,540645
2023-08-16,201.8700,202.1550,198.2000,200.7800,512616
2023-08-15,206.6200,207.3600,202.5900,203.0500,683395
