timestamp,open,high,low,close,volume
2023-10-12,115.2800,115.2850,113.0400,113.9800,1125158
2023-10-11,114.7600,115.6500,114.0200,114.7700,941397
2023-10-10,114.4400,115.4600,113.9410,114.7200,1247868
2023-10-09,112.7500,114.4000,112.4200,114.1700,831773
2023-10-06,112.1800,113.9700,111.8431,113.1500,1186083
2023-10-05,111.4200,112.8300,110.7400,112.3700,1014719
2023-10-04,110.1200,111.6300,109.0100,111.4500,1009792
2023-10-03,110.2900,111.2800,109.3300,109.9100,1192783
2023-10-02,110.9300,111.4800,110.0300,110.9100,1337990
2023-09-29,112.4100,112.6900,111.2500,111.4100,1206851
2023-09-28,113.1600,113.6200,112.3400,112.4900,909994
2023-09-27,112.7500,113.4500,111.4200,113.0200,1262144
2023-09-26,114.8300,115.3600,112.7250,113.2700,1247195
2023-09-25,113.7100,116.1200,113.0300,115.2400,1983386
2023-09-22,114.4000,114.8700,113.5200,114.0900,1741097
2023-09-21,114.0700,115.0600,112.5050,113.8500,1935419
2023-09-20,113.9700,115.7900,113.3900,114.1500,2142152
2023-09-19,111.5100,114.4500,111.1228,113.3800,2654544
2023-09-18,109.2400,111.3500,108.1600,111.0400,2140551
2023-09-15,109.9600,110.0400,108.6600,108.7800,2901875
2023-09-14,109.7700,111.0300,109.0500,110.5500,2585296
2023-09-13,110.0000,110.4900,108.1200,108.9000,2446789
2023-09-12,108.0600,109.9300,107.8500,109.4900,1305354
2023-09-11,107.0400,108.4700,106.7400,107.7800,1386738
2023-09-08,107.6500,107.7500,105.8500,106.2000,1707484
2023-09-07,108.0600,109.0550,107.5000,107.7300,1493794
2023-09-06,107.3200,108.9250,106.8800,107.9300,1360291
2023-09-05,110.3400,110.5600,107.1500,107.2200,1444755
2023-09-01,108.5900,110.9100,108.1450,110.5600,1330026
2023-08-31,109.7400,109.7400,107.6800,107.8100,2218878
2023-08-30,105.5700,109.4600,105.5700,109.2600,1855976
2023-08-29,105.8200,106.9450,105.0100,106.5600,1177957
2023-08-28,105.5300,106.2752,104.7000,105.4200,1027839
2023-08-25,105.3800,106.7450,104.8400,105.1400,1217263
2023-08-24,105.3300,107.1800,105.0900,105.3400,1104712
2023-08-23,105.1300,106.4650,105.1300,105.6200,897130
2023-08-22,105.0600,106.1850,104.5700,105.1200,1001836
2023-08-21,106.0500,106.5600,104.2900,105.2900,1547924
2023-08-18,107.2400,108.3300,106.0700,106.1900,1464185
2023-08-17,110.5800,111.5200,107.7100,107.9100,1724473
2023-08-16,107.0000,110.6600,106.4600,109.7400,2269085
2023-08-15,105.1900,106.1500,104.6500,105.0700,1474085
2023-08-14,108.9900,109.4200,106.3000,106.9000,1524173
2023-08-11,110.7300,111.1200,108.7000,109.0400,1365456
2023-08-10,110.3900,112.3570,110.3900,110.6900,1002032
2023-08-09,110.2700,111.5900,109.5100,109.6000,1053559
2023-08-08,109.4400,111.0900,108.5300,110.4400,1432920
2023-08-07,110.4700,111.9800,110.0000,110.7400,905674
2023-08-04,111.3200,111.3300,109.5000,109.8700,1518159
2023-08-03,105.9500,111.9150,105.8500,111.3600,2727357
2023-08-02,111.7400,112.2300,105.3950,106.5100,2844070
2023-08-01,112.4400,113.3600,111.5400,113.0300,1459678
2023-07-31,112.6600,113.8200,112.0600,112.6800,890417
2023-07-28,113.8500,114.0900,111.7800,112.4600,1165537
2023-07-27,113.2100,113.2100,112.0100,112.7800,1088334
2023-07-26,111.3600,113.4400,110.4600,112.9600,1282553
2023-07-25,111.7500,112.6200,110.1700,110.4700,1064834
2023-07-24,111.1400,113.0250,111.0320,112.1100,1138004
2023-07-21,112.0200,112.3350,110.2400,110.8200,1467865
2023-07-20,106.8500,112.1000,106.4000,111.9800,3263240
2023-07-19,103.6900,106.0360,103.5600,105.7900,2726696
2023-07-18,102.1000,104.5200,102.1000,103.4200,1742592
2023-07-17,101.3000,102.5600,100.5730,102.4100,1950979
2023-07-14,104.8500,104.8500,100.9700,101.1800,3465039
2023-07-13,104.0500,106.8000,103.9100,104.8300,3209415
2023-07-12,109.6800,110.0900,106.7500,107.6000,1745656
2023-07-11,106.7800,109.1600,106.6900,109.0700,2003264
2023-07-10,107.8300,108.7000,106.4400,106.7500,1541052
2023-07-07,107.9700,109.3950,107.9700,108.2700,1850532
2023-07-06,109.5700,109.7551,108.1400,108.7600,2118075
2023-07-05,109.6400,110.0700,108.1300,110.0400,2430841
2023-07-03,108.9700,111.7400,108.8800,110.5100,952119
2023-06-30,109.6200,109.8100,108.7200,109.0400,1825860
2023-06-29,109.0700,109.4300,108.6200,109.0900,1416942
2023-06-28,108.3900,108.9100,107.4000,108.8600,2185120
2023-06-27,109.1000,109.6700,108.3400,108.6400,990095
2023-06-26,107.6500,109.0000,107.3500,108.9600,1693259
2023-06-23,107.5000,107.7500,106.5900,107.5300,3587815
2023-06-22,108.2100,108.2100,106.8100,108.0000,1801092
2023-06-21,108.2000,108.5900,105.5400,107.7300,4040081
2023-06-20,109.8600,110.2200,108.0750,108.6100,3393817
2023-06-16,111.0000,111.6500,109.9550,111.1700,3778755
2023-06-15,110.5300,111.8900,109.5700,110.5400,3260084
2023-06-14,113.5000,113.7900,111.3100,111.4000,2878629
2023-06-13,112.4100,114.9700,112.4100,113.4500,1308937
2023-06-12,111.8700,113.1900,111.6600,112.3500,1119134
2023-06-09,111.2100,112.9500,110.5000,111.9600,1602925
2023-06-08,112.1200,112.2100,110.6300,111.9100,1213520
2023-06-07,110.2800,112.6100,109.6600,112.2200,1337761
2023-06-06,109.5100,110.6200,109.4300,109.9900,1693326
2023-06-05,110.5700,111.2200,109.2600,109.4800,1307304
2023-06-02,109.9400,110.8500,109.3000,110.0800,1119173
