timestamp,open,high,low,close,volume
2023-10-12 19:00:00,97.0000,97.0000,97.0000,97.0000,199813
2023-10-12 18:30:00,97.0000,97.0000,97.0000,97.0000,199813
2023-10-12 18:25:00,96.6200,96.6200,96.6200,96.6200,6
2023-10-12 16:20:00,97.0000,97.0000,97.0000,97.0000,911
2023-10-12 16:15:00,97.4200,97.4200,97.4200,97.4200,205
2023-10-12 16:10:00,97.0000,97.0000,97.0000,97.0000,199813
2023-10-12 16:05:00,97.0000,97.0000,97.0000,97.0000,2299
2023-10-12 16:00:00,97.0000,97.0000,97.0000,97.0000,837543
2023-10-12 15:55:00,96.9600,97.0200,96.8550,97.0000,100971
2023-10-12 15:50:00,97.1200,97.2400,96.9400,96.9600,54302
2023-10-12 15:45:00,97.0600,97.1100,96.9900,97.1100,37616
2023-10-12 15:40:00,97.1900,97.1900,97.0300,97.0700,17809
2023-10-12 15:35:00,97.1700,97.2400,97.1050,97.1800,16844
2023-10-12 15:30:00,97.0200,97.2200,97.0200,97.1800,14004
2023-10-12 15:25:00,96.9700,96.9800,96.8500,96.9800,14735
2023-10-12 15:20:00,97.0800,97.1200,97.0200,97.0200,7681
2023-10-12 15:15:00,96.9200,97.1400,96.9200,97.1000,10799
2023-10-12 15:10:00,96.9500,96.9900,96.8300,96.9300,9893
2023-10-12 15:05:00,97.0300,97.0300,96.8800,96.9600,7520
2023-10-12 15:00:00,96.9000,97.0100,96.8700,97.0100,6027
2023-10-12 14:55:00,97.0300,97.0400,96.8700,96.8800,7500
2023-10-12 14:50:00,97.0700,97.1500,96.9700,97.0250,9653
2023-10-12 14:45:00,96.9900,97.1300,96.9500,97.1300,6561
2023-10-12 14:40:00,96.9420,97.0100,96.9000,96.9900,8420
2023-10-12 14:35:00,96.8700,96.9800,96.8600,96.8850,7201
2023-10-12 14:30:00,96.6900,96.8700,96.6900,96.8200,6577
2023-10-12 14:25:00,96.6100,96.7150,96.5500,96.7020,7254
2023-10-12 14:20:00,96.3300,96.6400,96.3200,96.6200,5774
2023-10-12 14:15:00,96.5300,96.5500,96.2800,96.2800,7546
2023-10-12 14:10:00,96.6100,96.6100,96.4400,96.5100,4848
2023-10-12 14:05:00,96.7300,96.7900,96.6050,96.6050,3884
2023-10-12 14:00:00,96.8750,96.9500,96.7100,96.7100,6105
2023-10-12 13:55:00,97.0800,97.1000,96.8700,96.8800,8736
2023-10-12 13:50:00,97.1750,97.1900,97.0000,97.0300,11682
2023-10-12 13:45:00,97.1500,97.2700,97.1200,97.2200,10077
